City Name,2023_Score_Max10000,2022_Score_Max7500,2020_Score_Max6000,2019_Score_5000,2018_Score,2017_Score,2016_Score
BHAVNAGAR,0,4936.87,4055.6,2921,0,1515,0
HATHOD,0,4927.32,4048.16,0,0,0,0
Kharsia  (M),0,0,4045.97,0,0,0,0
BHAGUR,0,4254.29,4040.74,0,2771,0,0
PANDATARAI (NP),0,4489.68,4040.69,0,0,0,0
SAGAR,0,5699.23,4039.26,3284,2922,1603,0
BETUL,0,5107.18,4028.89,0,0,1313,0
SHAHADA,0,4722.58,4024.09,0,0,0,0
BAGICHA (NP),0,4654.77,4017.29,0,0,0,0
BARSUR (NP),0,4683.57,4011.02,0,0,0,0
JARHI (NP),0,4622.12,4008.95,0,0,0,0
KORBA,0,5691.31,4004.25,3111,2989,1313,0
POMBHURNA,0,2830.56,4000.94,0,0,0,0
BADE BACHELI (M),0,5203.32,3997.8,0,0,0,0
RAU,0,4395.52,3996.48,3315,0,0,0
CHIKHALAKASA (NP),0,4825.21,3990.33,0,0,0,0
URAN ISLAMPUR,0,4563.31,3985.64,3631,2931,0,0
DANTEWADA (NP),0,4179,3983.24,0,0,0,0
ALIBAG,0,2874.93,3979.27,0,0,0,0
KIRANDUL (M),0,4479.25,3978.3,0,0,0,0
JHABUA,0,4037.77,3971.56,0,0,0,0
KHULDABAD,0,3628.79,3967.99,0,0,0,0
JAMUL (M),0,4289.55,3965.37,0,0,0,0
HINGANA,0,4696.03,3965.26,3222,0,0,0
TARSADI,0,4338.29,3963.36,0,0,0,0
BHUSAWAL,0,4144.75,3962.2,0,2722,345,0
SHIVPUR CHARCHA (M),0,4484.27,3956.28,0,0,0,0
UMRED,0,5131.29,3953.51,3272,0,0,0
KULGAON-BADLAPUR,0,5312.57,3891.98,3244,0,0,0
TUMKUR,0,2726.88,3863.66,0,0,0,0
Saharanpur,0,0,3855.29,2908,0,894,0
MANDSAUR,0,5221.65,3844.64,0,3103,1318,0
RAJAHMUNDRY,0,4212.56,3838.66,2867,0,1456,0
SEONI_M,0,5213.68,3838.27,0,0,0,0
FIROZABAD (M.CORP.),0,4099.03,3819.57,0,0,0,0
UDAIPUR (M CL),0,3969.52,3814.36,0,0,0,0
UDGIR,0,3992.21,3811.73,3225,0,910,0
PANCHKULA,0,4273.42,3783.01,3056,0,968,0
ONGOLE,0,3158.75,3782.72,0,2638,1322,0
KAKINADA,0,4120.25,3774.56,0,0,1464,0
WARDHA,0,4017.44,3765.85,3475,2873,760,0
NANDED WAGHALA,0,4516.03,3757.54,3141,0,1010,0
SATARA,0,5713.61,3737.57,3361,2815,1090,0
GURGAON,0,5544.93,3733.97,2975,0,1214,1194
BRAHMAPUR,0,4247.56,3718.55,0,0,1022,0
JALGAON,0,4286.83,3702.24,3034,2634,1083,0
SHIMLA,0,4798.12,3695.03,0,0,1438,1244
AKOLA,0,2684.45,3674.57,0,0,798,0
JALANDHAR CANTT.,0,3560.94,3670.03,0,0,0,0
SOLAPUR,0,4255.17,3663.38,3206,2620,1213,0
HARDOI (NPP),0,3315.82,3650.59,0,0,0,0
ANAND,0,4071.4,3648.57,0,0,1225,0
DELHI CANTT.,0,4029.19,3647.64,0,0,1062,0
PARBHANI,0,4261.8,3646.17,0,3007,924,0
Jodhpur,0,0,3615.33,0,0,970,971
NAGDA,0,5184.14,3612.66,3794,2661,1213,0
KARIMNAGAR,0,4563.07,3602.16,2861,2709,987,0
VAPI,0,4450.44,3583.37,2953,3019,1558,0
SATNA,0,4628.27,3583.19,0,2605,1317,0
TENALI,0,2662.48,3576.63,2936,0,1464,0
KADAPA,0,4217.6,3559.97,0,0,1096,0
GODHRA,0,3969.89,3557.97,0,0,1422,0
SHAHJAHANPUR (NPP),0,4497.37,3538.71,0,0,0,0
MEERUT CANTT.,0,2095.66,3529.31,0,0,0,0
BATHINDA,0,3783.75,3526.68,3520,0,1169,0
DAMOH,0,4450.84,3521.89,3012,0,906,0
CHITTOOR,0,3433.86,3509.68,0,2599,1321,0
Gorakhpur,0,0,3509.45,0,0,756,0
DURG,0,5361.68,3505.49,3500,2972,1284,1089
SILVASSA,0,3314.61,3504.89,0,0,0,0
VIDISHA,0,3206.68,3498.7,0,0,1061,0
PATIALA,0,4012.44,3467.35,0,0,517,0
CHHATARPUR,0,4510.37,3450.63,0,2609,0,0
YAVATMAL,0,4341.61,3431.52,2887,0,924,0
ICHHALKARANJI,0,2955.7,3428.19,0,0,0,0
SOUTH DELHI (SDMC),0,4171.07,3422.27,0,3029,984,1180
NEEMUCH,0,4604.45,3420.91,3314,2716,1161,0
HAZARIBAG,0,3185.77,3416.47,3113,2597,1269,0
HINGANGHAT,0,4688.92,3416.13,0,0,657,0
HINDUPUR,0,2419.65,3414.74,0,0,1086,0
ULHASNAGAR,0,3491.8,3409.91,0,0,974,0
SHIKOHABAD (NPP),0,2596.47,3397.23,0,0,0,0
FIROZPUR,0,4645.1,3389.71,0,0,0,0
AYODHYA,0,3986.09,3375.5,0,0,0,0
GANDHIDHAM,0,2023.12,3372.8,0,0,1333,0
TADIPATRI,0,3073.39,3368.8,0,0,1529,0
PORBANDAR,0,3492.94,3364.11,0,0,1032,0
LANSDOWNE CANTT,0,2662.25,3210.12,0,0,0,0
VARANASI CANTT.,0,2784.43,3148.1,0,0,0,0
JHANSI CANTT.,0,2156.31,3084.71,0,0,0,0
MHOW CANTT,0,5244.16,2980.03,0,0,0,0
DEHUROAD CANTT,0,2409.21,2942.98,0,0,0,0
DALHOUSIE CANTT.,0,772.44,2919.9,0,0,0,0
ST THOMAS MOUNT CANTT,0,1430.32,2911.4,0,0,0,0
MATHURA CANTT.,0,2757.72,2909.02,0,0,0,0
Ahmednagar Cantt,0,0,2825.4,0,0,0,0
SHAHJAHANPUR CANTT.,0,2776.81,2751.55,0,0,0,0
SAUGOR CANTT,0,3062.57,2739.71,0,0,0,0
KIRKEE CANTT,0,3493.9,2732.83,0,0,0,0
AHMEDABAD CANTT,0,5294.17,2711.57,0,0,0,0
RANIKHET CANTT,0,2424.65,2663.44,0,0,0,0
JUTOGH CANTT.,0,3797.97,2611.5,0,0,0,0
LUCKNOW CANTT.,0,2318.89,2579.25,0,0,0,0
ROORKEE CANTT,0,1202.34,2575.88,0,0,0,0
WELLINGTON CANTT,0,1700.54,2574.94,0,0,0,0
AMRITSAR CANTT.,0,1648.08,2551.31,0,0,0,0
BABINA CANTT.,0,1269.17,2514.39,0,0,0,0
NAINITAL CANTT,0,1371.13,2486.41,0,0,0,0
PUNE CANTT,0,2843.88,2452.27,0,0,0,0
FEROZEPUR CANTT.,0,2937.16,2434.71,0,0,0,0
AMBALA CANTT.,0,2165.68,2382.45,0,0,0,0
JALAPAHAR CANTT,0,971.06,2374.83,0,0,0,0
AURANGABAD CANTT,0,1986.95,2373.9,0,0,0,0
LEBONG CANTT,0,995.09,2314.39,0,0,0,0
SECUNDERABAD CANTT.,0,4114.05,2277.04,0,0,0,0
LANDOUR CANTT,0,945.24,2212.17,0,0,0,0
AJMER CANTT.,0,1473.92,2181.92,0,0,0,0
CLEMENT TOWN CANTT,0,1234.32,2159.65,0,0,0,0
RAMGARH CANTT.,0,927.03,2126.7,0,0,0,0
Badamibagh Cantonment Board,0,0,2109.79,0,0,0,0
Agra Cantonment Board,0,0,2104.34,0,0,0,0
BELGAUM CANTT.,0,1271.57,2079.2,0,0,0,0
BAREILLY CANTT.,0,1879.98,2071.51,0,0,0,0
ALMORA CANTT,0,1802.62,2070.54,0,0,0,0
DEHRADUN CANTT,0,1173.34,2070.3,0,0,0,0
JABALPUR CANTT,0,3296.38,2057.53,0,0,0,0
FATEHGARH CANTT.,0,2398.27,2053.08,0,0,0,0
Kota,0,0,2051.88,0,0,706,954
DAGSHAI CANTT.,0,1758.83,2033.21,0,0,0,0
EAST DELHI (EDMC),0,3726.23,1962.31,0,0,1004,1015
MORAR CANTT,0,1535.42,1951.9,0,0,0,0
KAMPTEE CANTT,0,2816.17,1943.22,0,0,0,0
KANNUR CANTT.,0,1824.1,1906.4,0,0,0,0
KANPUR CANTT.,0,710.12,1862.88,0,0,0,0
SABATHU CANTT.,0,1918.16,1789.83,0,0,0,0
JAMMU CANTT.,0,1166.44,1757.53,0,0,0,0
BAKLOH CANTT.,0,853.33,1740.24,0,0,0,0
DEOLALI CANTT,0,5433.88,1734.12,0,0,0,0
ALLAHABAD CANTT.,0,1897.46,1702.76,0,0,0,0
CHAKRATA CANTT,0,802.18,1684.07,0,0,0,0
PACHMARHI CANTT,0,2588.71,1611.77,0,0,0,0
KASAULI CANTT.,0,1104.05,1499.2,0,0,0,0
FAIZABAD CANTT.,0,1384.77,1466.96,0,0,0,0
YOL CANTT.,0,753.87,1445.91,0,0,0,0
SHILLONG CANTT.,0,675.69,1427.23,0,0,0,0
Nasirabad Cantt.,0,0,1307.77,0,0,0,0
BARRACKPORE CANTT,0,2249.59,1086.71,0,0,0,0
DANAPUR CANTT.,0,1864.89,879.33,0,0,0,0
KARHAD,0,6212.56,0,4063,0,0,0
KARJAT_R,0,5785.92,0,3228,0,0,0
SILLOD,0,5489.28,0,0,2894,0,0
SHENDURJANAGHAT,0,5334.06,0,3166,0,0,0
BETMA,0,5280.72,0,3451,0,0,0
MANGALVEDHE,0,5169.66,0,3403,0,0,0
DHAR,0,5044.28,0,3294,0,0,0
LATUR,0,5032.66,0,3427,0,751,0
DEGLUR,0,5023.11,0,0,2832,0,0
BHIND,0,4945.51,0,0,0,1176,0
BADWANI,0,4923.22,0,3162,0,0,0
SEHORE,0,4906.28,0,0,0,1397,0
KURUNDVAD,0,4884.23,0,3295,0,0,0
GUNA,0,4879.07,0,0,0,873,0
SAWANTWADI,0,4877.92,0,3267,2785,0,0
MANGO,0,4859.57,0,2898,3162,0,0
REWA,0,4850.94,0,3039,2893,1479,0
BHOR,0,4825.85,0,3454,2954,0,0
KURNOOL,0,4810.22,0,0,0,1051,0
PATHRI,0,4765.01,0,0,2738,0,0
PURI (M),0,4740.3,0,0,0,1007,0
DHANPURI,0,4709.1,0,3148,0,0,0
NELLORE,0,4687.92,0,0,0,1073,0
HUBLI-DHARWAD,0,4680.24,0,0,0,998,0
WARANGAL,0,4677.25,0,2995,3045,1537,1226
DATIA,0,4674.82,0,0,0,810,0
KATOL,0,4593.75,0,3504,3041,0,0
KHANDALA,0,4589.62,0,3163,0,0,0
HOSHANGABAD,0,4552.23,0,2956,2674,1364,0
ROHA ASHTAMI,0,4545.19,0,0,2749,0,0
DEHRADUN,0,4524.48,0,0,0,752,876
MOWAD,0,4521.95,0,0,2824,0,0
KANKER,0,4514.1,0,3197,0,0,0
KYMORE,0,4480.39,0,3122,0,0,0
MORENA,0,4473.36,0,0,0,977,0
URAN,0,4417.06,0,3266,0,0,0
SHIVPURI,0,4372.1,0,2987,0,926,0
BHUBANESWAR,0,4363.37,0,0,0,1254,1279
BEED,0,4320.9,0,2905,0,783,0
DABRA,0,4313.53,0,0,0,881,0
JAYSINGPUR,0,4289.97,0,0,2785,0,0
MHASWAD,0,4247.62,0,3128,0,0,0
BAGBAHARA,0,4243.72,0,0,2902,0,0
